     X         I1 (Y=0.2522)     Error1      I2 (Y=0.3649)     Error2      I3 (Y=0.4692)     Error3      I4 (Y=0.5576)     Error4      I5 (Y=0.6193)     Error5      I6 (Y=0.7467)     Error6      I7 (Y=0.8707)     Error7      I8 (Y=0.9907)     Error8       I9 (Y=1.106)     Error9      I10 (Y=1.217)    Error10      I11 (Y=1.321)    Error11      I12 (Y=1.420)    Error12      I13 (Y=1.513)    Error13      I14 (Y=1.598)    Error14      I15 (Y=1.676)    Error15      I16 (Y=1.749)    Error16    
-1.36264E+001   3.87540E-005   8.06151E-005  -1.31064E-005   5.58885E-005   6.28140E-005   4.45055E-005   1.30031E-004   8.91603E-005  -7.59646E-005   9.49155E-005   1.20181E-004   8.02908E-005  -1.75197E-005   4.42487E-005  -4.36945E-005   5.19292E-005   3.31143E-007   5.55537E-005   5.07261E-005   4.79445E-005  -7.01520E-005   5.65184E-005   1.48077E-005   6.06755E-005   5.60025E-005   6.87138E-005  -4.60236E-005   1.23806E-004   5.47983E-005   1.38571E-004   7.84035E-005   3.12260E-004
-1.35287E+001   3.85114E-005   9.10483E-005  -5.30900E-005   6.21974E-005   1.37498E-005   4.88404E-005  -2.64443E-005   9.27580E-005   6.44287E-005   1.18442E-004  -4.16960E-005   7.71127E-005   5.11243E-005   5.57758E-005  -4.33053E-005   5.86883E-005  -6.44115E-005   5.62257E-005   7.16418E-006   5.02624E-005   2.88614E-005   7.33413E-005   7.50119E-005   7.40624E-005   2.72249E-005   7.50332E-005  -1.71166E-004   1.27133E-004   1.44644E-005   1.53195E-004  -3.69158E-004   3.12260E-004
-1.34310E+001   5.15796E-005   7.61153E-005   1.61958E-005   5.30828E-005   3.55526E-005   4.11698E-005   1.39984E-004   8.41988E-005  -1.37006E-004   8.48114E-005  -1.56862E-005   6.61062E-005  -3.13061E-005   4.05458E-005   6.31748E-005   5.64607E-005   4.53310E-005   5.56707E-005  -1.79540E-005   3.98322E-005   2.17834E-005   6.04912E-005   1.09267E-004   6.40929E-005  -3.28253E-005   5.76889E-005   7.69752E-005   1.25878E-004   8.52050E-005   1.32277E-004  -2.85872E-004   2.66394E-004
-1.33333E+001   9.84772E-005   8.64327E-005   2.98971E-005   5.95629E-005   2.62421E-005   4.57191E-005   5.27167E-005   9.00016E-005  -3.27013E-005   1.02905E-004   1.38403E-004   8.56250E-005  -4.69019E-005   4.38956E-005   1.23197E-005   5.91310E-005   1.77468E-005   5.98287E-005  -2.25610E-006   4.58723E-005  -7.93953E-005   5.83566E-005   7.92241E-005   6.91920E-005   7.10919E-005   7.33699E-005   3.44462E-004   1.61449E-004  -5.57069E-005   1.36746E-004  -9.88091E-005   3.13268E-004
-1.32357E+001  -1.96048E-005   8.25675E-005  -1.79449E-005   5.83961E-005   1.02776E-005   4.51712E-005  -5.28254E-006   8.69955E-005   1.57706E-005   1.06286E-004   6.58413E-005   8.00986E-005   5.44882E-005   5.19810E-005   1.35934E-004   6.81845E-005   1.83731E-005   5.97451E-005  -1.79257E-005   4.43536E-005  -5.56742E-005   6.04746E-005   3.43593E-005   6.52533E-005   7.17540E-005   7.32674E-005   1.80889E-004   1.48731E-004   1.89840E-004   1.55066E-004  -1.46857E-004   3.08454E-004
-1.31380E+001  -6.84302E-006   7.27262E-005  -2.35797E-005   5.10739E-005   8.35036E-005   4.13647E-005   1.43308E-004   8.24755E-005   9.81930E-005   9.84311E-005   1.32279E-005   6.66140E-005  -1.84956E-005   4.04968E-005   2.48442E-005   5.26065E-005   5.23572E-005   5.49546E-005   5.81729E-005   4.46103E-005  -6.77735E-005   5.19174E-005  -1.72161E-005   5.30975E-005  -5.98326E-005   5.39929E-005   1.11787E-004   1.25602E-004   6.59202E-005   1.27990E-004   5.73874E-004   3.19843E-004
-1.30403E+001  -3.68845E-006   8.98788E-005  -2.99547E-005   6.28858E-005   3.57969E-005   4.96585E-005   1.48717E-004   1.02137E-004   1.36124E-004   1.24458E-004   1.79669E-004   9.59021E-005  -6.50120E-005   4.54510E-005   1.44235E-005   6.40395E-005  -6.31755E-006   6.22605E-005   3.57965E-005   5.31040E-005   1.25268E-004   8.21004E-005  -8.81259E-005   5.77010E-005   1.97757E-004   9.00025E-005   1.29942E-004   1.56764E-004  -5.35242E-005   1.47671E-004   1.06847E-003   4.32501E-004
-1.29426E+001   7.52078E-005   7.65920E-005   8.91422E-006   5.27818E-005   1.53145E-005   4.05594E-005  -4.97597E-007   7.80631E-005   9.83979E-005   1.00581E-004   3.99026E-006   6.73365E-005   6.19207E-006   4.31887E-005   1.50595E-004   6.21631E-005   8.19974E-006   5.26856E-005  -1.46608E-005   3.99277E-005  -7.49768E-005   5.22916E-005   4.21527E-006   5.60081E-005   1.27895E-004   6.97532E-005   1.32401E-005   1.20685E-004   9.19799E-005   1.32529E-004   2.20747E-004   3.02968E-004
-1.28449E+001  -8.44646E-005   7.09511E-005   4.10245E-005   5.26862E-005   6.54639E-005   4.12565E-005  -4.18220E-005   7.51233E-005  -2.26474E-005   9.12257E-005   8.91144E-005   7.24618E-005   4.75959E-005   4.55403E-005  -2.27396E-005   4.94676E-005   1.81856E-004   6.44922E-005  -1.64189E-005   3.92229E-005   8.02835E-005   6.39199E-005   2.90179E-005   5.72661E-005  -7.87912E-005   5.25536E-005   3.10876E-004   1.40792E-004  -2.38657E-005   1.22599E-004  -2.19292E-004   2.66200E-004
-1.27472E+001   8.39379E-005   8.73196E-005   1.96664E-005   6.01998E-005   7.36482E-005   4.77557E-005   9.97190E-005   9.37189E-005   1.17150E-004   1.15738E-004   9.88716E-005   8.42581E-005  -4.01142E-005   4.49536E-005   2.54802E-005   6.11160E-005   3.57515E-005   6.23813E-005  -4.95659E-005   4.18372E-005   2.13298E-005   6.85490E-005  -8.42832E-006   6.23964E-005   5.81487E-005   7.35534E-005   2.33937E-004   1.56168E-004  -2.14717E-004   1.24003E-004  -3.74667E-004   2.91857E-004
