     X         I1 (Y=0.3254)     Error1      I2 (Y=0.4002)     Error2      I3 (Y=0.4999)     Error3      I4 (Y=0.5963)     Error4      I5 (Y=0.6986)     Error5      I6 (Y=0.7998)     Error6      I7 (Y=0.9002)     Error7       I8 (Y=1.000)     Error8       I9 (Y=1.100)     Error9      I10 (Y=1.200)    Error10      I11 (Y=1.300)    Error11      I12 (Y=1.400)    Error12      I13 (Y=1.500)    Error13      I14 (Y=1.600)    Error14      I15 (Y=1.700)    Error15      I16 (Y=1.801)    Error16      I17 (Y=1.901)    Error17      I18 (Y=2.001)    Error18      I19 (Y=2.075)    Error19    
-1.54988E+000   2.41078E+000   2.73029E+000   2.08583E+000   1.88392E+000   7.81014E-001   7.90082E-001   1.18298E-001   5.58898E-002   8.94449E-002   4.14278E-002   1.16145E-001   5.44135E-002   1.14480E-001   5.55491E-002   1.30984E-001   5.92495E-002   1.12992E-001   5.36871E-002   1.38750E-001   6.03686E-002   1.89902E-001   7.03956E-002   2.30847E-001   7.55926E-002   1.81917E-001   6.62948E-002   1.74403E-001   6.37724E-002   1.60552E-001   6.03518E-002   1.53474E-001   5.85109E-002   2.11844E-001   6.87478E-002   1.96406E-001   6.82368E-002   1.73257E-001   7.84346E-002
-1.53604E+000   5.27604E+000   4.17105E+000   4.65307E+000   2.84641E+000   1.07172E+000   1.03316E+000   1.18253E-001   5.51017E-002   1.10187E-001   4.55109E-002   1.38398E-001   5.90438E-002   1.38524E-001   6.10655E-002   1.01697E-001   5.19185E-002   1.13319E-001   5.35224E-002   1.10228E-001   5.35535E-002   1.51925E-001   6.21146E-002   1.44168E-001   6.05391E-002   1.35457E-001   5.71698E-002   1.52804E-001   6.10332E-002   1.75383E-001   6.35230E-002   1.95151E-001   6.58396E-002   1.86642E-001   6.37354E-002   1.77162E-001   6.73045E-002   1.80754E-001   8.24494E-002
-1.52228E+000   8.61012E+000   5.08747E+000   4.04917E+000   2.80028E+000   1.07109E+000   9.26144E-001   1.43904E-001   6.07160E-002   1.27168E-001   4.79437E-002   1.25893E-001   5.57222E-002   1.40039E-001   6.15627E-002   1.05723E-001   5.26116E-002   9.45792E-002   4.99076E-002   9.77571E-002   5.05616E-002   1.17225E-001   5.41437E-002   1.18557E-001   5.41760E-002   1.26286E-001   5.62829E-002   1.71561E-001   6.56717E-002   1.52011E-001   5.97772E-002   1.76846E-001   6.23910E-002   1.82677E-001   6.25270E-002   2.02036E-001   7.26916E-002   2.47775E-001   9.63325E-002
-1.50857E+000   5.49666E+000   4.35524E+000   3.60942E+000   2.61051E+000   8.79464E-001   7.69842E-001   1.48937E-001   6.22290E-002   1.11054E-001   4.61606E-002   1.07207E-001   5.05058E-002   9.40337E-002   4.95871E-002   1.08390E-001   5.42495E-002   1.24116E-001   5.82171E-002   1.36317E-001   6.04407E-002   1.58286E-001   6.31249E-002   1.19673E-001   5.43597E-002   1.35086E-001   5.81670E-002   1.85724E-001   6.83767E-002   1.65368E-001   6.24305E-002   1.85314E-001   6.43869E-002   2.01498E-001   6.59562E-002   2.21636E-001   7.50772E-002   2.94652E-001   1.01422E-001
-1.49491E+000   4.91000E+000   4.42184E+000   3.09411E+000   2.52180E+000   7.92123E-001   6.76345E-001   1.60447E-001   6.33056E-002   9.36073E-002   4.27928E-002   1.04878E-001   5.09056E-002   1.07120E-001   5.32436E-002   1.53435E-001   6.51669E-002   1.28601E-001   5.96592E-002   1.12650E-001   5.50355E-002   1.41279E-001   6.00507E-002   1.79057E-001   6.67731E-002   1.31882E-001   5.73208E-002   1.51602E-001   6.14909E-002   1.82471E-001   6.54714E-002   1.82467E-001   6.41993E-002   1.86152E-001   6.37386E-002   1.87838E-001   6.77909E-002   1.69301E-001   7.57274E-002
-1.48132E+000   8.41100E+000   5.88182E+000   3.47416E+000   3.11122E+000   7.05961E-001   6.84800E-001   1.22501E-001   5.78635E-002   1.12330E-001   4.53986E-002   1.08874E-001   5.23200E-002   1.20851E-001   5.77287E-002   1.36952E-001   6.15821E-002   1.00612E-001   5.23818E-002   1.16050E-001   5.51062E-002   1.57260E-001   6.43145E-002   1.69119E-001   6.51569E-002   1.50384E-001   6.09146E-002   1.53795E-001   6.11117E-002   1.64647E-001   6.28601E-002   1.58516E-001   5.94327E-002   1.40858E-001   5.59971E-002   1.20462E-001   5.55969E-002   1.29899E-001   7.02148E-002
-1.46778E+000   1.10242E+001   6.46088E+000   4.75882E+000   3.48896E+000   1.02195E+000   1.00504E+000   1.21415E-001   5.87922E-002   1.29614E-001   4.87943E-002   1.05161E-001   5.11372E-002   8.97180E-002   5.01692E-002   1.22467E-001   5.84114E-002   1.47875E-001   6.34731E-002   1.63851E-001   6.49258E-002   1.27001E-001   5.77884E-002   1.41940E-001   6.00596E-002   1.21982E-001   5.48547E-002   1.49573E-001   6.01247E-002   1.84536E-001   6.57376E-002   1.27482E-001   5.39624E-002   1.26008E-001   5.26090E-002   1.15987E-001   5.57022E-002   1.41977E-001   7.50139E-002
-1.45431E+000   5.35831E+000   3.90082E+000   5.04904E+000   2.98557E+000   1.38350E+000   1.22693E+000   1.31992E-001   5.64899E-002   1.17468E-001   4.58512E-002   1.29164E-001   5.76110E-002   1.39965E-001   6.29342E-002   1.41194E-001   6.28798E-002   1.55173E-001   6.54141E-002   1.67261E-001   6.65260E-002   1.87260E-001   7.11642E-002   1.48271E-001   6.19539E-002   1.86832E-001   6.83059E-002   1.78995E-001   6.58959E-002   1.60818E-001   6.17350E-002   1.89724E-001   6.61188E-002   1.52570E-001   5.79318E-002   1.28905E-001   5.83923E-002   1.50020E-001   7.48621E-002
-1.44089E+000   3.08187E+000   2.44278E+000   4.17559E+000   2.28697E+000   1.29190E+000   1.14443E+000   1.41394E-001   5.36449E-002   1.29677E-001   4.97744E-002   1.78141E-001   6.88028E-002   1.47874E-001   6.48757E-002   1.17892E-001   5.76210E-002   1.20362E-001   5.68898E-002   1.96490E-001   7.30957E-002   2.29006E-001   7.77505E-002   1.76623E-001   6.84247E-002   1.95635E-001   6.97786E-002   1.99373E-001   7.10822E-002   1.73559E-001   6.47925E-002   1.94454E-001   6.71487E-002   1.83181E-001   6.40241E-002   1.69365E-001   6.46714E-002   1.78461E-001   7.86002E-002
-1.42752E+000   2.07764E+000   1.89037E+000   2.36085E+000   1.68790E+000   8.70211E-001   8.78398E-001   1.35435E-001   5.34663E-002   1.45788E-001   5.53883E-002   1.47790E-001   6.27058E-002   1.24402E-001   5.96779E-002   1.23545E-001   5.90231E-002   1.31226E-001   5.88542E-002   1.35869E-001   6.02720E-002   1.94087E-001   7.14458E-002   1.66637E-001   6.65685E-002   1.73141E-001   6.62965E-002   2.01996E-001   7.17717E-002   1.89433E-001   6.77560E-002   1.84074E-001   6.51475E-002   1.94202E-001   6.59124E-002   1.70262E-001   6.54040E-002   1.25859E-001   6.66590E-002
